"row.ID","row.m.z","row.retention.time","p_value","statistic","p_adjusted_BH","mean_group1","mean_group2","fold_change","log2_fold_change","significance","label"
64,146.960121399058,0.49927115,0.00582066640781088,40,0.608841706257018,0.00188268661688634,1.80458283915301e-05,0.00958514721976141,-6.70498369402181,"Not Significant","64"
73,174.955223480807,0.51881945,0.00582066640781088,40,0.608841706257018,0.0178006109337327,0.000156035609152109,0.00876574459904728,-6.83390763991494,"Not Significant","73"
5288,200.093489995006,16.073454,0.00582066640781088,40,0.608841706257018,0.000704221018425557,0.00024224740130462,0.343993426731594,-1.53954709772841,"Not Significant","5288"
89,242.943269112861,0.5406019,0.00582066640781088,40,0.608841706257018,0.00108053180817862,6.5936504367427e-06,0.00610222705785697,-7.35644842248564,"Not Significant","89"
99,310.930912220027,0.55791545,0.00582066640781088,40,0.608841706257018,0.000674914752190007,4.24724652829488e-06,0.00629301184262627,-7.31203362678595,"Not Significant","99"
132,530.865463245887,0.55501366,0.0088889699439143,39,0.774821880111197,9.04487897179173e-05,1.30763293240787e-05,0.144571634013677,-2.79014358189483,"Not Significant","132"
5545,83.0236227411721,16.438583,0.0133283287808176,38,0.855297419398547,0.00969040305275502,0.00415638778300837,0.428917947001873,-1.22122641167468,"Not Significant","5545"
6929,83.0236292012907,16.899805,0.0196244149766397,3,0.855297419398547,0.00133035645156462,0.00292977176596438,2.20224569326416,1.13897543197239,"Not Significant","6929"
4286,117.019415441447,16.002735,0.0196244149766397,37,0.855297419398547,0.00111237899468217,0.000492325365219126,0.442587793883859,-1.17596443124517,"Not Significant","4286"
5710,145.050839995032,16.378792,0.0196244149766397,37,0.855297419398547,0.00991018617884518,0.00393673021898888,0.397240793254968,-1.33191431188833,"Not Significant","5710"
1955,201.112613836627,9.338725,0.0196244149766397,3,0.855297419398547,0.000381292744192166,0.000976395624119434,2.56075060171443,1.35656675188484,"Not Significant",NA
5332,227.104630312948,16.251007,0.0196244149766397,3,0.855297419398547,3.315925211126e-05,0.000129233955398627,3.89737244268975,1.96250180565291,"Not Significant",NA
6628,252.100177836551,16.844591,0.0283772667379875,4,0.91557714405215,0.000166467865124978,0.000348197512683982,2.09168005141754,1.06466219023959,"Not Significant",NA
6902,277.009242902394,16.890808,0.0283772667379875,36,0.91557714405215,5.17959805465814e-05,3.15495444972187e-05,0.609111829997029,-0.715220970580188,"Not Significant",NA
121,462.878392346485,0.55414855,0.0283772667379875,36,0.91557714405215,9.48603494986366e-05,1.87177115808145e-05,0.197318602342737,-2.34140112137777,"Not Significant",NA
5691,106.039697129953,16.441238,0.0403049743625408,35,0.91557714405215,0.0992578785671535,0.0444914257618745,0.448240748282501,-1.15765428880364,"Not Significant",NA
7146,338.859125547296,17.031294,0.0403049743625408,5,0.91557714405215,0.000896224753558354,0.00101597389988118,1.13361508466194,0.180930860988696,"Not Significant",NA
7147,340.854293550586,17.032932,0.0403049743625408,5,0.91557714405215,0.000218060787104537,0.000302620473899445,1.38778034289297,0.472779237010609,"Not Significant",NA
6883,90.0083363750148,16.79387,0.0562378038772759,6,0.91557714405215,0.00279277721014515,0.00440616644055564,1.57770065744938,0.657823503843222,"Not Significant",NA
3267,107.034987400118,15.282515,0.0562378038772759,34,0.91557714405215,0.00120546867871925,0.000780184824263936,0.64720455872221,-0.627706325155994,"Not Significant",NA
3426,158.046192617562,15.453588,0.0562378038772759,34,0.91557714405215,0.000165779974758385,7.63225477622792e-05,0.460384602383461,-1.11908851171369,"Not Significant",NA
5774,198.077826734451,16.419561,0.0562378038772759,34,0.91557714405215,0.000688690981185162,0.000282722824948595,0.410522037709947,-1.28446842381861,"Not Significant",NA
2677,221.154237553344,14.297735,0.0562378038772759,6,0.91557714405215,0.00035966888047136,0.000477340479011953,1.32716647152342,0.408349344768455,"Not Significant",NA
1480,352.853660193092,3.5539572,0.0562378038772759,6,0.91557714405215,0.000268828079450423,0.00144305309994873,5.36794036879937,2.42436864506357,"Not Significant",NA
3704,387.156168985832,15.590074,0.0562378038772759,6,0.91557714405215,0.00111627066046855,0.00142075190173446,1.27276650014083,0.347967768816855,"Not Significant",NA
7123,441.033888901883,17.011293,0.0562378038772759,6,0.91557714405215,9.43529722170424e-05,0.000180704454086438,1.91519620251877,0.93749219679841,"Not Significant",NA
5112,83.023623152688,16.195824,0.0770998717435418,7,0.91557714405215,0.00253823925031859,0.00710586348412112,2.79952470328762,1.48518191059325,"Not Significant",NA
6270,90.0083371918715,16.609215,0.0770998717435418,33,0.91557714405215,0.00426585201065367,0.0030884772295375,0.724000087631789,-0.465938222957418,"Not Significant",NA
3269,92.0239925169818,15.331539,0.0770998717435418,33,0.91557714405215,0.000505737749770973,0.000300914118312735,0.59500031083107,-0.749037672795645,"Not Significant",NA
3382,122.034727495528,15.429183,0.0770998717435418,33,0.91557714405215,0.000496598504832051,0.000278550916042417,0.560917750118121,-0.834138857379868,"Not Significant",NA
933,129.01811586052,0.6898572,0.0770998717435418,33,0.91557714405215,0.00123237160340602,0.000351283565631064,0.285046786748565,-1.810729356416,"Not Significant",NA
6031,130.039874634974,16.691254,0.0770998717435418,7,0.91557714405215,0.00175306257746779,0.00524486627535915,2.99183060705973,1.58102849431878,"Not Significant",NA
6624,132.055543116573,16.85475,0.0770998717435418,33,0.91557714405215,0.00100533706146174,0.000562475311360886,0.559489282672079,-0.837817599045716,"Not Significant",NA
6749,184.062056013042,16.851671,0.0770998717435418,7,0.91557714405215,0.000138188027685051,0.000301636854006562,2.18280019665692,1.12618007880118,"Not Significant",NA
5742,211.07319496125,16.439201,0.0770998717435418,33,0.91557714405215,0.000380151654565144,0.000199608399009591,0.525075707582869,-0.92940264338503,"Not Significant",NA
3921,227.104618701704,15.720992,0.0770998717435418,7,0.91557714405215,2.96530758264534e-05,8.23469016369413e-05,2.77701045648289,1.47353260945334,"Not Significant",NA
2312,331.249105110585,12.812348,0.0770998717435418,7,0.91557714405215,0.000154066220709967,0.000201291445078468,1.30652549371873,0.385735275674198,"Not Significant",NA
7150,486.787714291644,17.032167,0.0770998717435418,7,0.91557714405215,7.65497742144618e-05,9.4677743097162e-05,1.2368128328101,0.306627193437043,"Not Significant",NA
6899,106.03969761173,16.894886,0.103876157063085,8,0.91557714405215,0.0173409748881927,0.0360391713975982,2.07826674278486,1.05538083412458,"Not Significant",NA
5715,110.034645456529,16.468458,0.103876157063085,32,0.91557714405215,0.00221309982693398,0.000612668440679616,0.276837236722576,-1.85289008535969,"Not Significant",NA
4287,122.034721095183,15.897967,0.103876157063085,32,0.91557714405215,0.00181111741029308,0.00121671195474451,0.671801810213738,-0.573892411873951,"Not Significant",NA
5327,131.035127978337,16.24896,0.103876157063085,8,0.91557714405215,0.00245751962795342,0.00620629186066106,2.52542921328752,1.33652860420417,"Not Significant",NA
5566,141.019561651577,16.40191,0.103876157063085,8,0.91557714405215,0.000459967420081099,0.00103101962027843,2.24150575729179,1.16446820494544,"Not Significant",NA
6317,145.050835404205,16.67332,0.103876157063085,8,0.91557714405215,0.00396208499445117,0.00832966494391077,2.10234383047721,1.07199863597907,"Not Significant",NA
6905,145.050852395924,16.885967,0.103876157063085,8,0.91557714405215,0.000846079534629729,0.00149682461074933,1.76912990976006,0.823039991095169,"Not Significant",NA
4415,147.030173317404,16.012184,0.103876157063085,32,0.91557714405215,0.000655133078332643,0.000439270328365541,0.670505494064676,-0.576678941389397,"Not Significant",NA
4100,163.061574237935,15.733917,0.103876157063085,32,0.91557714405215,0.00192975208293249,0.00105457033809631,0.546479699347578,-0.871760191294956,"Not Significant",NA
5323,198.077828685839,16.17272,0.103876157063085,8,0.91557714405215,0.000285489277493481,0.000505208708142142,1.76962410839993,0.823442945314613,"Not Significant",NA
4190,225.088963709634,15.846042,0.103876157063085,32,0.91557714405215,0.000661975292484517,0.00034657947588786,0.523553491833633,-0.933591149019537,"Not Significant",NA
7138,304.908268052536,17.027042,0.103876157063085,8,0.91557714405215,0.000117331240243843,0.000136165379049164,1.16052109196305,0.214772743271773,"Not Significant",NA
3675,311.168627398148,15.573575,0.103876157063085,8,0.91557714405215,0.000979956426018634,0.00170484876290785,1.73971894835601,0.798854257474437,"Not Significant",NA
7156,466.816751011376,17.040564,0.103876157063085,8,0.91557714405215,9.61655587278211e-05,0.000130484146082821,1.35686983790249,0.440282332238558,"Not Significant",NA
7151,484.789580350338,17.03522,0.103876157063085,8,0.91557714405215,0.000166481853852126,0.000208746688636123,1.2538705198558,0.326388376842893,"Not Significant",NA
4121,120.019067684992,15.988564,0.137563893909903,31,0.91557714405215,0.000793729340331076,0.000582899080383587,0.734380160547487,-0.445401010354554,"Not Significant",NA
5411,121.050703003086,16.294344,0.137563893909903,9,0.91557714405215,0.00124945949212196,0.00135859080036598,1.08734281417854,0.12080686064384,"Not Significant",NA
6078,122.034721132428,16.647518,0.137563893909903,9,0.91557714405215,0.000700103340965023,0.00125472617055957,1.79220137534276,0.841732750613072,"Not Significant",NA
3628,122.034723391286,15.599234,0.137563893909903,9,0.91557714405215,0.000322757332524638,0.000601323460176462,1.86308225896172,0.897691373676352,"Not Significant",NA
4024,144.055638501622,15.755612,0.137563893909903,9,0.91557714405215,0.000109957189170482,0.000240126935224362,2.18382205871103,1.12685530796397,"Not Significant",NA
4107,145.050835200516,15.966126,0.137563893909903,9,0.91557714405215,0.00580950112173525,0.0109865776199017,1.89113959868212,0.919255862966626,"Not Significant",NA
3139,148.050571639821,15.191882,0.137563893909903,31,0.91557714405215,0.000120765329393701,5.55291250625803e-05,0.459810156949537,-1.12088976015166,"Not Significant",NA
4666,173.082401576982,16.062399,0.137563893909903,31,0.91557714405215,0.000678167792214206,0.000404228118573106,0.596059151162735,-0.746472588269222,"Not Significant",NA
4888,174.077628997133,16.060692,0.137563893909903,31,0.91557714405215,0.00079277886978026,0.000470660850152142,0.593684907725402,-0.752230656576929,"Not Significant",NA
6338,182.046371118536,16.745245,0.137563893909903,31,0.91557714405215,0.000513945228166888,0.000326542250326593,0.635363911230942,-0.654344947811683,"Not Significant",NA
5688,186.077730868507,16.335072,0.137563893909903,31,0.91557714405215,0.00131282672306374,0.00081088532393315,0.617663633507388,-0.695106703977555,"Not Significant",NA
2391,195.138378506378,13.268635,0.137563893909903,9,0.91557714405215,9.18113315621645e-05,0.000116115474051075,1.26471833133642,0.338816114380674,"Not Significant",NA
5762,196.06216620668,16.497673,0.137563893909903,31,0.91557714405215,0.000278854531607643,9.03458535075529e-05,0.323989188867378,-1.62598242198625,"Not Significant",NA
4465,200.093489549986,15.962589,0.137563893909903,9,0.91557714405215,4.62600379082222e-05,0.000139917006345629,3.02457612817391,1.59673297358416,"Not Significant",NA
4251,213.088840227537,15.821843,0.137563893909903,9,0.91557714405215,0.000472686181734617,0.000828098311946449,1.75189870985349,0.808919364541585,"Not Significant",NA
2390,239.128658074006,13.268183,0.137563893909903,9,0.91557714405215,0.000327524779520244,0.000399643789812877,1.22019405798325,0.287110610268623,"Not Significant",NA
1700,261.13434375529,7.2811565,0.137563893909903,9,0.91557714405215,0.000181391967156113,0.000201487377127789,1.11078445361575,0.151578890652171,"Not Significant",NA
5371,353.200356389703,16.332447,0.137563893909903,9,0.91557714405215,2.62382503688917e-05,4.75130745546079e-05,1.8108324254326,0.856653045358636,"Not Significant",NA
3153,387.156212641677,15.205737,0.137563893909903,9,0.91557714405215,0.0006812922350678,0.000801218295589938,1.17602734091077,0.23392160110783,"Not Significant",NA
90,394.890578077612,0.5539402,0.137563893909903,31,0.91557714405215,0.000117626200311802,7.16281531277677e-05,0.608947266322441,-0.715610795999004,"Not Significant",NA
5120,491.358813440611,16.202518,0.137563893909903,31,0.91557714405215,1.96799520348974e-06,1.33561542276361e-06,0.678668027439924,-0.559222046607849,"Not Significant",NA
2392,601.323035535576,13.269417,0.137563893909903,9,0.91557714405215,0.000235755152597804,0.00027205683993131,1.15398046207472,0.206618798067862,"Not Significant",NA
4034,83.0236171556156,15.898128,0.179109192726722,30,0.91557714405215,0.0116300110377126,0.00747221459512344,0.642494196341974,-0.638244672404145,"Not Significant",NA
5358,90.0083416795648,16.3404,0.179109192726722,10,0.91557714405215,0.0013404673866317,0.00204776863541854,1.52765270967474,0.611316604252457,"Not Significant",NA
4088,92.0239945779022,15.929466,0.179109192726722,30,0.91557714405215,0.00237235876155148,0.00160245835534714,0.675470498525764,-0.566035334307556,"Not Significant",NA
6567,92.0239936879964,16.705269,0.179109192726722,10,0.91557714405215,0.0013476787737094,0.00213587270832658,1.58485297089582,0.664349005665365,"Not Significant",NA
6723,106.039693697103,16.65259,0.179109192726722,10,0.91557714405215,0.0448913390153985,0.081536713256336,1.81631279094543,0.861012673491827,"Not Significant",NA
5283,107.034999540565,16.291113,0.179109192726722,10,0.91557714405215,0.00162509736449407,0.00245383132606673,1.5099595751487,0.594509926031693,"Not Significant",NA
5776,107.034998993128,16.478008,0.179109192726722,30,0.91557714405215,0.00307666151259978,0.00144313549284967,0.469058909125892,-1.09215897264405,"Not Significant",NA
3410,121.050692909369,15.435498,0.179109192726722,30,0.91557714405215,0.00080294201384237,0.000420934578809326,0.524240320661514,-0.931699775594674,"Not Significant",NA
4163,131.035124960022,16.018023,0.179109192726722,30,0.91557714405215,0.0171072766324869,0.0116171155382162,0.679074512430291,-0.558358209937644,"Not Significant",NA
2957,131.035210637125,14.927102,0.179109192726722,30,0.91557714405215,0.000288591834178571,0.000224516853520654,0.777973687854695,-0.362206732790902,"Not Significant",NA
4086,134.034811917158,15.9440365,0.179109192726722,30,0.91557714405215,0.00180669630177011,0.00106189847573048,0.587757042890988,-0.7667081735858,"Not Significant",NA
5760,134.03481641564,16.393234,0.179109192726722,30,0.91557714405215,0.00126303796092359,0.000659380356319207,0.522059017004556,-0.937715187082576,"Not Significant",NA
4986,136.050472975221,16.13028,0.179109192726722,10,0.91557714405215,0.000225403404202864,0.000544808708329201,2.41703851038057,1.27324045957121,"Not Significant",NA
5937,140.02429361245,16.57514,0.179109192726722,10,0.91557714405215,0.000138237969431081,0.000211468011227466,1.52973898631298,0.613285512214771,"Not Significant",NA
5253,171.066721585797,16.272062,0.179109192726722,10,0.91557714405215,0.000172797835561657,0.000609724774041708,3.52854404720913,1.81907301942667,"Not Significant",NA
3736,191.056686072152,15.913582,0.179109192726722,10,0.91557714405215,0.000908030666654665,0.00154584952772173,1.70241995616392,0.767586967658732,"Not Significant",NA
6596,198.077814517986,16.675505,0.179109192726722,10,0.91557714405215,0.0004540809321947,0.000748746767376674,1.64892800884144,0.721528412993292,"Not Significant",NA
6111,200.093489526539,16.528002,0.179109192726722,30,0.91557714405215,0.00038917276745673,0.000227246341204925,0.583921487338374,-0.77615369400506,"Not Significant",NA
2083,242.175945517868,11.109664,0.179109192726722,10,0.91557714405215,0.00090088056686083,0.00111161066900212,1.23391569303752,0.303243826098575,"Not Significant",NA
2227,248.079911505102,12.426986,0.179109192726722,30,0.91557714405215,9.79815954081795e-05,5.35840058548836e-05,0.546878274758225,-0.870708344036418,"Not Significant",NA
2430,271.191538798897,13.429858,0.179109192726722,10,0.91557714405215,0.000118282400923327,0.000129011059277993,1.09070375872418,0.125259310777492,"Not Significant",NA
6394,309.174060353433,16.733154,0.179109192726722,10,0.91557714405215,5.34229341079975e-05,9.6446683739228e-05,1.80534231879244,0.852272418718914,"Not Significant",NA
4305,309.174141485331,16.038387,0.179109192726722,10,0.91557714405215,0.00147794776360492,0.00247999611765727,1.67799984460087,0.74674258217013,"Not Significant",NA
3285,311.168638632405,15.357674,0.179109192726722,10,0.91557714405215,0.00113368153218176,0.00185365841672024,1.63507860373529,0.709359992599972,"Not Significant",NA
2436,313.238558129164,13.42539,0.179109192726722,10,0.91557714405215,0.000160449269406662,0.000181644372671437,1.1320984716425,0.17899945143095,"Not Significant",NA
5047,93.0080121224381,16.164326,0.229331942391648,29,0.91557714405215,0.000512375430910597,0.000401546487486014,0.783695827827621,-0.351634278344984,"Not Significant",NA
4929,107.034989531831,16.056097,0.229331942391648,29,0.91557714405215,0.00466020976155931,0.00369657279375089,0.793220258934013,-0.334206570257573,"Not Significant",NA
6212,110.034646072653,16.673256,0.229331942391648,11,0.91557714405215,0.00114468601627587,0.00186120527066489,1.6259526579351,0.701285251781592,"Not Significant",NA
4092,116.024116326713,15.858254,0.229331942391648,29,0.91557714405215,0.00133540840598388,0.000727307149248849,0.544632747547367,-0.876644363875835,"Not Significant",NA
7303,117.92740967243,17.192142,0.229331942391648,11,0.91557714405215,0.00115602610861004,0.00142014952040035,1.22847529984239,0.296868850656422,"Not Significant",NA
5328,120.019072082576,16.209986,0.229331942391648,29,0.91557714405215,0.000752987187830491,0.000526574252304354,0.699313694594886,-0.515988337260306,"Not Significant",NA
3572,120.055444847964,15.590859,0.229331942391648,11,0.91557714405215,0.000784185124562995,0.00151701834030405,1.93451557902153,0.951972347125199,"Not Significant",NA
5211,122.034725790695,16.154324,0.229331942391648,11,0.91557714405215,0.000450603553877932,0.000775109514020363,1.72015845713977,0.78254146888093,"Not Significant",NA
5494,135.066452014121,16.35758,0.229331942391648,11,0.91557714405215,0.000144501457950414,0.000329619560576622,2.28108121019603,1.18971780985105,"Not Significant",NA
3753,147.066530150242,15.649183,0.229331942391648,29,0.91557714405215,0.000438945445002939,0.00026644197403288,0.607004758942415,-0.720220267573277,"Not Significant",NA
3117,157.050961912032,15.149982,0.229331942391648,11,0.91557714405215,0.0001329021564897,0.000230049108677543,1.73096595836932,0.791577352564353,"Not Significant",NA
5684,157.050964507942,16.429167,0.229331942391648,29,0.91557714405215,0.00280755803476398,0.00217930817849237,0.776229075768891,-0.365445620689598,"Not Significant",NA
3093,159.066680777414,15.169439,0.229331942391648,29,0.91557714405215,6.51572183115e-05,4.61627447359197e-05,0.708482435748368,-0.497196007690192,"Not Significant",NA
4652,172.061970153599,16.064089,0.229331942391648,29,0.91557714405215,0.0042698911836902,0.00269543783620027,0.631266165867668,-0.663679666205292,"Not Significant",NA
5551,183.933539532976,16.41138,0.229331942391648,11,0.91557714405215,0.000182622974525316,0.000484464623389748,2.65281312304214,1.40752304874553,"Not Significant",NA
4654,184.062058601766,16.079058,0.229331942391648,29,0.91557714405215,0.00128965603143713,0.000976269905710003,0.757000224797996,-0.401634366255079,"Not Significant",NA
6766,191.056681237452,16.884249,0.229331942391648,11,0.91557714405215,0.00036647675422219,0.000733369240669024,2.0011344027141,1.00081806660268,"Not Significant",NA
5767,199.073079714347,16.498537,0.229331942391648,29,0.91557714405215,0.000131922633939529,5.92761116009885e-05,0.449324803719123,-1.15416939088296,"Not Significant",NA
5822,210.077934185293,16.51169,0.229331942391648,29,0.91557714405215,0.000240273805818944,7.88758893889382e-05,0.32827502407139,-1.60702310440089,"Not Significant",NA
5662,213.088849783668,16.445988,0.229331942391648,29,0.91557714405215,0.00130495278554309,0.000715151864513029,0.548028919081083,-0.86767606974163,"Not Significant",NA
6978,213.088845181797,16.92468,0.229331942391648,11,0.91557714405215,0.000127371174311586,0.000183135551621035,1.43781002735386,0.523873070283606,"Not Significant",NA
4102,223.073275882315,15.779111,0.229331942391648,11,0.91557714405215,3.04637983333395e-05,4.59552110993025e-05,1.50851875384854,0.59313263212671,"Not Significant",NA
3476,223.073278877416,15.479487,0.229331942391648,29,0.91557714405215,2.54996659486469e-05,1.83670746468542e-05,0.720286872927792,-0.473356483162848,"Not Significant",NA
2258,243.160012389669,12.556413,0.229331942391648,11,0.91557714405215,0.000311608647767568,0.000372791982888206,1.19634671745784,0.258635562668589,"Not Significant",NA
2603,277.144493029548,14.037515,0.229331942391648,11,0.91557714405215,0.000139097714100976,0.000149286317112209,1.07324781055594,0.101983229665951,"Not Significant",NA
3897,309.174107049747,15.71132,0.229331942391648,11,0.91557714405215,6.64453242236446e-05,0.000129709052241322,1.95211707907002,0.965039581757561,"Not Significant",NA
5880,325.184187097682,16.405966,0.229331942391648,11,0.91557714405215,0.00212921567094856,0.00537753455954188,2.5255941109743,1.3366228017795,"Not Significant",NA
